,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-06-07 11:00:00,0.0,6.864,131.9,0.7784808237690528,0.1431423767119302,5.346625070336039,4.775349388195696,4.889759962766173,325.6922408434293,290.8927075662712,297.8620828109993,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 11:30:00,0.0,7.293,131.9,0.7816686453899573,0.1204930130136952,5.640863386631058,5.0692551888055934,5.183727051684937,343.61590957191555,308.79612094167425,315.7692295932506,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 12:00:00,0.0,7.444,105.6,0.7816686453899573,0.1405571163704699,5.812198555584474,5.240381062564525,5.354891755090966,354.05287389569565,319.2203359478956,326.1958099261234,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 12:30:00,0.0,7.995,105.6,0.7816686453899573,0.1403278798754822,5.948354806301114,5.3763627809634364,5.490905976391298,362.3468974745652,327.50372780658415,334.4811817147039,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 13:00:00,0.0,8.668,216.6,0.7687876318962557,0.1513259192184642,6.2518054081159,5.679398295591638,5.7940191639972625,380.8317370116927,345.96328210785435,352.9454675028182,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-07 13:30:00,0.0,8.369,216.6,0.7488060498407207,0.1269551643720712,6.01613293400379,5.444051319733665,5.558611237736065,366.4756347623416,331.6270077413987,338.6054803131992,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-07 14:00:00,0.0,8.469,237.5,0.7280075732620285,0.1269533299918529,5.760931863809704,5.189178203629252,5.303677035477812,350.9299386786009,316.10128913895767,323.07604061828084,0.207,0.0889119885300703,0.0903471109200768,0.12875303315004902
2021-06-07 14:30:00,0.0,9.608,237.5,0.7280075732620285,0.1278878242637065,6.6008923336312195,6.02796324691675,6.142682383339562,402.0965351833517,367.19628397035854,374.18445540891054,0.207,0.0889119885300703,0.0903471109200768,0.12875303315004902
2021-06-07 15:00:00,0.0,10.247,255.3,0.710030836737289,0.106432268575029,6.468522725277925,5.895797153739025,6.0104779076232315,394.0331767475147,359.1453227594447,366.1311561071744,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-07 15:30:00,0.0,10.736,255.3,0.7136739699138144,0.1296080661324455,7.139148119088026,6.565321392808687,6.680210656078541,434.88464555319837,399.9297141938501,406.9282489912148,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-07 16:00:00,0.0,10.369,177.5,0.7026719313455045,0.1167048297567897,7.025997662068333,6.452368952870963,6.5672205843056375,427.99203097588975,393.04916192244536,400.04540435844837,0.203,0.0852200369231984,0.0889048483039207,0.12570829507570638
2021-06-07 16:30:00,0.0,11.807,177.5,0.6914498936472744,0.115979134629457,7.203562837064719,6.62962117274168,6.7445323023558945,438.8084991178561,403.8465662522271,410.84643304848834,0.203,0.0852200369231984,0.0889048483039207,0.12570829507570638
2021-06-07 17:00:00,0.0,11.977,526.2,0.7026719313455045,0.1715428990526496,7.9943453796051465,7.418862578143911,7.534068237640881,486.97939850049585,451.9235865239542,458.94139474985525,0.2,0.0824510732180445,0.0878231513418036,0.12342474151994938
2021-06-07 17:30:00,0.0,13.858,526.2,0.6838444474665152,0.1756610854888397,8.056491732258559,7.480877661519227,7.596108503777735,490.76507349914766,455.7012651913176,462.7206074372646,0.2,0.0824510732180445,0.0878231513418036,0.12342474151994938
2021-06-07 18:00:00,0.0,13.233,87.8,0.6914498936472744,0.101962617125993,7.806934453047542,7.231838579567527,7.346970088287295,475.5631716609256,440.5309295886863,447.54422088428663,0.195,0.0778361337094547,0.0860203230716084,0.11961881892702103
2021-06-07 18:30:00,0.0,12.582,87.8,0.6722473113408491,0.0996236292854801,6.977337839758042,6.403792763971809,6.518628517364817,425.0278944675698,390.0901199836387,397.0853952010876,0.195,0.0778361337094547,0.0860203230716084,0.11961881892702103
2021-06-07 19:00:00,0.0,12.316,104.6,0.6800040737661357,0.0808845546404915,7.395761462096034,6.821467334345409,6.936445615931817,450.51637091548355,415.53296757043324,422.53692496141787,0.192,0.0750671700043008,0.0849386261094913,0.11733526537126404
2021-06-07 19:30:00,0.0,10.956,104.6,0.6838444474665152,0.0809301975740911,6.683244145095744,6.110185005019785,6.224928710142526,407.11303543548377,372.2048619593479,379.1945300120873,0.192,0.0750671700043008,0.0849386261094913,0.11733526537126404
2021-06-07 20:00:00,0.0,9.632,0.2,0.6761384095338355,0.0272290432597518,6.151096259107138,5.5788308972299765,5.6934251873229345,374.6969907030205,339.8371706081107,346.81773697235957,0.196,0.0787591216111727,0.0863808887256475,0.12038000344560673
2021-06-07 20:30:00,0.0,8.891,0.2,0.6683306350877043,0.0270896296744102,5.450906180074981,4.8795165465862445,4.99394806146093,332.0445748600693,297.2381001816501,304.208751015093,0.196,0.0787591216111727,0.0863808887256475,0.12038000344560673
2021-06-07 21:00:00,0.0,8.17,0.2,0.6604199686352413,2.784777917135708e-05,4.130019163440806,3.5597556675496684,3.673985527199802,251.58210616455287,216.84423070018653,223.80259760851814,0.201,0.0833740611197625,0.0881837169958426,0.12418592603853502
2021-06-07 21:30:00,0.0,8.344,0.2,0.6643882360018434,2.810430790822093e-05,4.871364354408754,4.300553725848138,4.414879745215452,296.7415054694448,261.9703011550437,268.9345256788534,0.201,0.0833740611197625,0.0881837169958426,0.12418592603853502
2021-06-07 22:00:00,0.0,8.07,0.2,0.6722473113408491,0.0274405105018342,2.270932696560108,1.7010808722718744,1.8152620520146459,138.33495878565265,103.6221604952189,110.5775620435516,0.202,0.0842970490214805,0.0885442826498817,0.12494711055712075
2021-06-07 22:30:00,0.0,7.116,0.2,0.6838444474665152,2.6328952168670437e-05,2.230891988672054,1.6610338895588583,1.7752170547537947,135.8958597829246,101.18267925850662,108.13820175161403,0.202,0.0842970490214805,0.0885442826498817,0.12494711055712075
2021-06-07 23:00:00,0.0,5.437,0.2,0.6914498936472744,0.0288399075092175,3.3060959119214073,2.7361845953852324,2.850358869160455,201.39242453544782,166.67600224608205,173.63098311407592,0.204,0.0861430248249164,0.0892654139579597,0.12646947959429203
2021-06-07 23:30:00,0.0,4.037,0.2,0.687659673395406,2.223232956253881e-05,2.4502083385377,1.8803767756719165,1.9945506352745703,149.25562084745988,114.54405679133166,121.49901242980404,0.204,0.0861430248249164,0.0892654139579597,0.12646947959429203
2021-06-08 00:00:00,0.0,2.956,0.2,0.4726530792529442,0.0200988643580759,2.475201312565865,1.954246868103908,2.0539844674891814,150.77807989582982,119.04388904419888,125.11945293970358,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-08 00:30:00,0.0,2.717,0.2,0.4726530792529442,0.0310214934024954,2.0355460063416584,1.5145332009763788,1.6142884307472232,123.99626519980397,92.25851926564326,98.33515712457498,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-08 01:00:00,0.0,2.69,0.2,0.4689124467237761,0.0307814962044118,0.7459602687787695,0.22437044103903284,0.32425507327625286,45.440528992143165,13.667633462175473,19.75215393466063,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
2021-06-08 01:30:00,0.0,2.128,0.2,0.4726530792529442,0.0202221083511377,2.01534827573253,1.4943310977336186,1.5940874612726128,122.76591071346901,91.02789841822495,97.1046053411895,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
